1 epoch, LR 0.001000, LOSS 13.354399, ACC 1.97%, EER 16.55%, bestEER 16.55%
2 epoch, LR 0.000970, LOSS 9.867096, ACC 7.62%, EER 15.70%, bestEER 15.70%
3 epoch, LR 0.000941, LOSS 8.628293, ACC 12.66%, EER 14.71%, bestEER 14.71%
4 epoch, LR 0.000913, LOSS 7.964591, ACC 16.43%, EER 14.29%, bestEER 14.29%
5 epoch, LR 0.000885, LOSS 7.558410, ACC 19.26%, EER 14.74%, bestEER 14.29%
6 epoch, LR 0.000859, LOSS 7.271784, ACC 21.26%, EER 14.52%, bestEER 14.29%
7 epoch, LR 0.000735, LOSS 5.149948, ACC 44.04%, EER 13.92%, bestEER 13.92%
8 epoch, LR 0.000698, LOSS 4.901902, ACC 46.95%, EER 13.77%, bestEER 13.77%
9 epoch, LR 0.000663, LOSS 4.763420, ACC 48.46%, EER 14.26%, bestEER 13.77%
10 epoch, LR 0.000630, LOSS 4.663556, ACC 49.57%, EER 13.51%, bestEER 13.51%
11 epoch, LR 0.000599, LOSS 4.573963, ACC 50.54%, EER 14.17%, bestEER 13.51%
12 epoch, LR 0.000569, LOSS 4.489838, ACC 51.40%, EER 13.49%, bestEER 13.49%
13 epoch, LR 0.000540, LOSS 4.420443, ACC 52.17%, EER 13.53%, bestEER 13.49%
14 epoch, LR 0.000513, LOSS 4.357284, ACC 52.87%, EER 13.00%, bestEER 13.00%
15 epoch, LR 0.000488, LOSS 4.294467, ACC 53.49%, EER 12.52%, bestEER 12.52%
